document,text,keyword,event_trigger,temporal_status,measurability,event_factuality,kw_is_nsubj,kw_is_dobj,kw_is_pobj,category,text_kw_et,text_kw,relation_time_specification,relation_unit
1.txt,"The diverse range of the members’ educational and professional backgrounds includes banking, business administration, social sciences.",25-74 [members’ educational and professional backgrounds],75-83 [includes],ongoing,1.0,_,False,False,True,situation,"The diverse range of the members’ educational and professional backgrounds includes banking, business administration, social sciences. (keyword: ""members’ educational and professional backgrounds"", event trigger: ""includes"")","The diverse range of the members’ educational and professional backgrounds includes banking, business administration, social sciences. (keyword: ""members’ educational and professional backgrounds"")",,
10.txt,"Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme.",140-170 [Ambition Zero Carbon programme],125-135 [delivering],ongoing,2.0,3_max,False,True,False,action,"Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme. (keyword: ""Ambition Zero Carbon programme"", event trigger: ""delivering"")","Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme. (keyword: ""Ambition Zero Carbon programme"")",,
10.txt,"Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme.",59-83 [environmental protection],27-36 [improving],ongoing,1.0,3_max,False,False,False,action,"Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme. (keyword: ""environmental protection"", event trigger: ""improving"")","Contributing to society by improving access to healthcare, environmental protection, and ethics and transparency, as well as delivering our Ambition Zero Carbon programme. (keyword: ""environmental protection"")",,
100.txt,Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security.,119-133 [water security],111-118 [support],ongoing,2.0,0_low,False,True,False,action,"Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""water security"", event trigger: ""support"")","Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""water security"")",,
100.txt,Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security.,0-18 [Our water strategy],19-26 [focuses],ongoing,1.0,3_max,True,False,False,situation,"Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""Our water strategy"", event trigger: ""focuses"")","Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""Our water strategy"")",,
100.txt,Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security.,46-64 [healthy watersheds],30-37 [working],future,2.0,0_low,False,False,True,intention,"Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""healthy watersheds"", event trigger: ""working"")","Our water strategy focuses on working towards healthy watersheds by combining internal and external efforts to support water security. (keyword: ""healthy watersheds"")",,
102.txt,"In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future.  ",111-131 [a sustainable future],103-110 [promote],past,1.0,1_medium,False,True,False,intention,"In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future. (keyword: ""a sustainable future"", event trigger: ""promote"")","In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future. (keyword: ""a sustainable future"")",,
102.txt,"In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future.  ",51-71 [its carbon emissions],43-50 [reduced],past,2.0,3_max,False,True,False,action,"In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future. (keyword: ""its carbon emissions"", event trigger: ""reduced"")","In addition, the Company has substantially reduced its carbon emissions and taken a number of steps to promote a sustainable future. (keyword: ""its carbon emissions"")",,
103.txt,"The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics.  ",44-61 [Group's employees],62-75 [are committed],ongoing,1.0,3_max,False,False,False,belief,"The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics. (keyword: ""Group's employees"", event trigger: ""are committed"")","The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics. (keyword: ""Group's employees"")",,
103.txt,"The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics.  ",123-139 [business conduct],79-104 [promoting and maintaining],ongoing,1.0,1_medium,False,False,True,belief,"The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics. (keyword: ""business conduct"", event trigger: ""promoting and maintaining"")","The Board, the Executive Management and the Group's employees are committed to promoting and maintaining high standards of business conduct and ethics. (keyword: ""business conduct"")",,
